;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;-10;21;16;11;-10;-10;-10;-10;-10;8;25;23;16;-10;-10;13;17;23;13;25;7;-10;-10;16;14;-10;-10;11;-10;9
1;22;-10;20;18;7;-10;13;-10;21;12;15;-10;-10;23;-10;-10;18;8;-10;20;-10;18;-10;25;20;11;14;12;16;15
2;-10;9;-10;25;17;13;12;21;8;14;9;-10;23;10;17;11;10;7;14;23;14;19;14;18;23;12;9;14;22;14
3;-10;20;14;14;9;15;25;20;17;20;16;18;24;21;12;24;20;19;18;-10;23;-10;25;-10;-10;-10;12;20;23;10
4;-10;14;19;-10;14;20;7;22;16;24;7;13;8;17;-10;19;23;9;22;-10;-10;15;15;-10;15;-10;17;19;18;11
5;11;23;17;-10;21;11;9;11;9;-10;-10;20;25;-10;-10;-10;11;18;7;14;15;14;7;21;13;24;-10;16;14;-10
6;24;12;15;20;23;19;19;8;-10;23;17;-10;11;8;25;23;12;-10;21;-10;11;24;9;-10;25;8;13;-10;-10;25
7;9;-10;-10;21;22;22;14;9;22;21;-10;22;17;-10;7;14;22;25;12;18;24;21;8;22;-10;13;18;24;-10;22
8;23;22;-10;-10;-10;10;11;19;11;-10;14;-10;19;-10;13;-10;9;13;16;17;17;20;24;20;21;7;24;21;15;16
9;8;8;22;13;13;14;10;25;-10;-10;24;17;10;25;16;15;16;-10;9;13;19;-10;-10;-10;16;17;22;8;9;-10
10;13;-10;21;10;25;-10;18;-10;15;-10;21;11;-10;11;15;20;-10;21;-10;10;13;8;23;14;-10;20;11;-10;-10;-10
11;20;25;24;24;24;9;16;17;-10;17;22;14;12;15;-10;-10;24;12;20;19;12;13;16;12;-10;-10;-10;9;21;12
12;7;-10;-10;-10;10;23;-10;18;12;25;18;-10;7;-10;18;-10;-10;14;23;-10;-10;12;13;11;22;22;15;-10;19;17
13;17;15;8;22;11;25;-10;10;20;-10;8;9;-10;12;19;10;-10;-10;24;16;20;11;20;7;17;15;8;22;25;7
14;-10;11;25;9;8;-10;23;14;-10;22;-10;15;20;24;8;9;-10;-10;10;22;-10;23;22;15;9;10;23;18;20;18
15;12;-10;-10;15;20;24;-10;12;25;11;11;25;-10;13;22;18;13;-10;17;9;25;7;-10;8;18;19;25;7;13;8
16;10;17;9;23;18;-10;22;15;10;16;10;21;14;19;21;8;8;22;-10;11;-10;9;18;19;12;-10;16;25;12;-10
17;16;24;-10;7;12;-10;20;-10;23;13;-10;12;-10;22;9;25;19;11;15;21;9;-10;12;10;7;21;20;-10;10;20
18;18;-10;23;-10;16;21;-10;16;18;10;12;7;22;9;-10;16;7;10;25;7;10;17;-10;17;11;16;7;13;24;23
19;14;18;10;17;-10;8;21;13;7;19;23;8;21;20;24;-10;21;16;-10;-10;-10;16;10;23;10;18;-10;17;11;19
20;25;10;11;16;-10;16;24;-10;14;15;-10;-10;15;16;10;7;15;17;19;8;8;25;11;-10;8;14;21;15;17;13
21;21;13;7;8;15;17;-10;23;19;-10;20;19;18;7;23;21;25;24;-10;24;21;22;17;-10;-10;9;-10;-10;-10;-10
22;15;7;13;19;-10;7;8;24;-10;18;13;10;9;18;14;22;-10;15;-10;15;22;-10;-10;24;24;-10;-10;-10;8;-10
23;19;19;18;12;-10;12;15;7;24;9;19;24;-10;-10;11;12;14;20;8;12;16;10;21;13;-10;23;10;10;-10;21
24;-10;16;12;-10;19;18;17;-10;13;7;-10;16;13;14;20;17;-10;-10;11;-10;18;-10;19;9;19;25;19;23;7;24
